date , open, high, low, close, volume, high%, low%, close%
145 2018-02-17 Sat , 11452000.0 , 12318000.0 , 11400000.0 , 12300000.0 , 34046.21887429 , 7.562% , -0.454% , 7.405%
146 2018-02-18 Sun , 12300000.0 , 12755000.0 , 11522000.0 , 11966000.0 , 44163.19851131 , 3.699% , -6.325% , -2.715%
147 2018-02-19 Mon , 11966000.0 , 12663000.0 , 11862000.0 , 12649000.0 , 22700.15187526 , 5.825% , -0.869% , 5.708%
148 2018-02-20 Tue , 12649000.0 , 14149000.0 , 12645000.0 , 13548000.0 , 41015.58477391 , 11.859% , -0.032% , 7.107%
149 2018-02-21 Wed , 13542000.0 , 13650000.0 , 12411000.0 , 12815000.0 , 37637.76832665 , 0.798% , -8.352% , -5.368%
150 2018-02-22 Thu , 12823000.0 , 13031000.0 , 11660000.0 , 11763000.0 , 37219.85617238 , 1.622% , -9.070% , -8.266%
151 2018-02-23 Fri , 11761000.0 , 12170000.0 , 11271000.0 , 12065000.0 , 31053.11554548 , 3.478% , -4.166% , 2.585%
152 2018-02-24 Sat , 12065000.0 , 12359000.0 , 11281000.0 , 11553000.0 , 21762.37417394 , 2.437% , -6.498% , -4.244%
153 2018-02-25 Sun , 11553000.0 , 11613000.0 , 10805000.0 , 11230000.0 , 16499.63847015 , 0.519% , -6.475% , -2.796%
154 2018-02-26 Mon , 11230000.0 , 11884000.0 , 10828000.0 , 11773000.0 , 24307.10812212 , 5.824% , -3.580% , 4.835%
155 2018-02-27 Tue , 11778000.0 , 12165000.0 , 11463000.0 , 11951000.0 , 20616.46007981 , 3.286% , -2.674% , 1.469%
156 2018-02-28 Wed , 11957000.0 , 12405000.0 , 11777000.0 , 11860000.0 , 21114.42802459 , 3.747% , -1.505% , -0.811%
157 2018-03-01 Thu , 11865000.0 , 12250000.0 , 11603000.0 , 12214000.0 , 20882.28518046 , 3.245% , -2.208% , 2.941%
158 2018-03-02 Fri , 12214000.0 , 12581000.0 , 12123000.0 , 12465000.0 , 23945.11755659 , 3.005% , -0.745% , 2.055%
159 2018-03-03 Sat , 12465000.0 , 12831000.0 , 12347000.0 , 12831000.0 , 18163.17519084 , 2.936% , -0.947% , 2.936%
160 2018-03-04 Sun , 12831000.0 , 12840000.0 , 12255000.0 , 12592000.0 , 16125.74325513 , 0.070% , -4.489% , -1.863%
161 2018-03-05 Mon , 12592000.0 , 12899000.0 , 12451000.0 , 12746000.0 , 13919.50036247 , 2.438% , -1.120% , 1.223%
162 2018-03-06 Tue , 12745000.0 , 12746000.0 , 11900000.0 , 12023000.0 , 15007.19978396 , 0.008% , -6.630% , -5.665%
163 2018-03-07 Wed , 12023000.0 , 12221000.0 , 10900000.0 , 11200000.0 , 29131.72046073 , 1.647% , -9.340% , -6.845%
164 2018-03-08 Thu , 11200000.0 , 11347000.0 , 10473000.0 , 10517000.0 , 21348.23284178 , 1.313% , -6.491% , -6.098%
165 2018-03-09 Fri , 10519000.0 , 10644000.0 , 9306000.0 , 10418000.0 , 36119.23291786 , 1.188% , -11.532% , -0.960%
166 2018-03-10 Sat , 10418000.0 , 10537000.0 , 9802000.0 , 9863000.0 , 16901.3779678 , 1.142% , -5.913% , -5.327%
167 2018-03-11 Sun , 9863000.0 , 10636000.0 , 9552000.0 , 10520000.0 , 22131.28254155 , 7.837% , -3.153% , 6.661%
